run,backbone,init_mode,backbone_family,position_embedding_type,attention_variant,num_key_value_heads,translation_decoder_type,view_weight,translation_weight,best_mlm_loss,best_mlm_step,best_combined_loss,best_combined_step,best_combined_mlm_loss,best_combined_view_loss,best_combined_translation_loss,best_combined_view_top1,best_combined_translation_token_accuracy
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,1.0,2.0,0.444746034394484,480,2.1089454307947335,480,0.444746034394484,0.02270449454942991,1.6414949018508196,0.99609375,0.5186776514165103
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,1.0,1.0,0.45253094052895904,360,2.1133138259795317,480,0.45610565319657326,0.018247069969476115,1.6389611028134823,0.9921875,0.5197999947704375
a10_wide_search_trial_001,mmpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,0.25,0.5,0.4476162778737489,360,2.188555979636135,360,0.4476162778737489,0.02828594003278795,1.712653761729598,0.990234375,0.49768368247896433
a10_targeted_trans_vw1p0_tw1p0,transpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,1.0,1.0,0.6970652978634462,60,2.2125208678530726,360,0.7001317958347499,0.017963542404231703,1.494425529614091,1.0,0.5492143952287734
a10_targeted_trans_vw1p0_tw2p0,transpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,1.0,2.0,0.6652583908289671,60,2.225005886161398,360,0.7122780595673248,0.017459504066664522,1.4952683225274086,1.0,0.5522144646383822
a10_wide_search_trial_000,transpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,0.1,1.0,0.7100879508070648,60,2.3556185749421275,360,0.8101821260061115,0.038029726181775914,1.50740672275424,0.994140625,0.5507178450934589
a10_wide_search_trial_002,mmpolymer,scratch,experimental,absolute,mha,4,autoregressive,2.0,0.25,3.719283142755198,360,5.45617591529045,360,3.719283142755198,0.12474395811211231,1.6121488144231397,0.9922480638637099,0.5287885943124461
wandb_smoke_checkpoint,transpolymer,checkpoint,upstream_roberta,absolute,mha,4,autoregressive,1.0,1.0,0.5231415387243032,2,5.476540473289788,2,0.5231415387243032,0.3344710087403655,4.618927925825119,0.9375,0.10544206737540662
a10_wide_search_trial_003,mmpolymer,scratch,upstream_roberta,absolute,mha,4,autoregressive,4.0,0.0,3.212602737338044,360,8.611605026975795,360,3.212602737338044,0.0715312551663712,5.327471034471379,0.9980620159659275,0.0007402810043395432
a10_wide_search_trial_004,mmpolymer,scratch,experimental,rope,gqa,2,diffusion_like,0.1,0.0,5.862881924957037,360,11.56225848547183,360,5.862881924957037,0.22198054916225374,5.477396011352539,0.98046875,0.0042744679067254765
a10_wide_search_trial_005,transpolymer,scratch,experimental,absolute,gqa,6,autoregressive,0.5,0.25,9.700591184198856,360,12.271339341532439,360,9.700591184198856,0.45672710379585624,2.1140210535377264,0.98828125,0.452475949190557
wandb_smoke_experimental,transpolymer,scratch,experimental,rope,gqa,2,diffusion_like,1.0,1.0,66.30126428604126,2,72.20130134746432,2,66.30126428604126,0.6122648231685162,5.287772238254547,0.96875,0.016967571107670665
